web100_log_entry_log_time,web100_log_entry_connection_spec_remote_ip,web100_log_entry_snap_HCThruOctetsAcked,web100_log_entry_snap_SndLimTimeRwin,web100_log_entry_snap_SndLimTimeCwnd,web100_log_entry_snap_SndLimTimeSnd,web100_log_entry_snap_MinRTT,web100_log_entry_snap_MaxRTT,web100_log_entry_snap_SumRTT,web100_log_entry_snap_CountRTT,web100_log_entry_snap_MaxMSS,web100_log_entry_snap_MaxPipeSize,web100_log_entry_snap_SegsRetrans,web100_log_entry_snap_SegsOut,web100_log_entry_snap_DataSegsOut,web100_log_entry_snap_CongSignals,web100_log_entry_snap_Timeouts,web100_log_entry_snap_DupAcksOut,web100_log_entry_snap_ECNsignals,web100_log_entry_snap_PreCongSumCwnd,web100_log_entry_snap_PreCongSumRTT,connection_spec_client_geolocation_country_code,connection_spec_server_geolocation_country_code
1385513256,186.95.102.123,788304,8137,10199851,210289,144,333,51788,272,1448,,39,593,593,7,0,0,,207064,1490,VE,
1400972921,200.8.5.163,590208,0,10190130,203338,102,365,38035,220,1448,,8,423,423,7,0,0,,105704,1364,VE,
1398917667,146.82.236.166,423724,0,9891833,234532,61,580,54867,134,1460,,4,304,304,1,0,0,,24820,542,VE,US
1398737692,186.93.167.181,1762928,208912,9894240,201253,99,277,119591,584,1448,,14,1258,1258,2,0,0,,117288,543,VE,US
1400470249,190.142.31.145,283804,1240664,9493488,252577,554,1744,120949,98,1460,,0,292,292,0,0,0,,0,0,VE,US
1400470588,186.90.253.195,2161008,0,10208821,311792,99,346,187516,781,1448,,29,1552,1552,2,0,0,,170864,573,VE,
1399326952,186.188.72.18,3876500,179347,10003177,176173,51,603,105878,396,1460,,1,2743,2743,1,0,0,,229220,341,VE,US
1397337897,190.142.36.7,327584,0,10106497,827809,58,807,35655,87,1448,,6,241,241,3,2,0,,75296,1565,VE,
1388766081,181.208.119.215,11417016,8785741,1287353,256753,69,622,796848,3913,1460,,0,8003,8003,0,0,0,,0,0,VE,US
1398741234,186.90.65.173,1186980,483905,9606299,268239,103,376,192331,683,1460,,17,847,847,3,0,0,,157680,1096,VE,US
1398741236,186.88.110.35,742636,0,10032542,166005,128,472,89988,255,1460,,0,534,534,0,0,0,,0,0,VE,US
1398741169,186.90.65.173,1156320,402964,9684678,374440,104,383,186549,676,1460,,17,829,829,3,0,0,,153300,1109,VE,US
1398741181,186.92.127.35,156960,0,9833034,1005416,139,362,8694,39,1440,,19,134,134,5,5,0,,27360,1267,VE,US
1398741158,186.88.110.35,698528,383510,9583895,245452,128,649,62892,204,1460,,28,526,526,2,0,0,,99280,1121,VE,US
1398741059,186.92.209.220,796896,0,9791429,369829,110,434,47817,262,1440,,3,570,570,2,0,0,,41760,618,VE,US
1398740956,186.95.102.96,1739508,207353,9854252,177213,94,261,110744,556,1460,,14,1232,1232,2,0,0,,115340,510,VE,US
1400762580,186.95.137.56,4044856,430472,9625878,143486,82,341,172557,956,1448,,17,2874,2874,1,0,0,,143352,262,VE,
1400306381,146.82.236.166,434828,0,10021259,166764,61,643,61560,150,1460,,0,317,317,0,0,0,,0,0,VE,US
1400478965,186.14.212.172,3286780,0,10077155,229973,51,90,44862,784,1460,,11,2273,2273,9,0,0,,220460,526,VE,US
